GEOID,Weighted Population,stations,Edge Density (KM),Street Node Average,Number of Links/Number of Nodes,Intersection Count,%of commercial landuse,%of education landuse,%of industrial landuse,%of other landuse,%of parkland landuse,%of primary production landuse,%of residential landuse,%of transport landuse,%of water landuse,Weekly household income,Household median age
36005005002,6275,4,75777.24976544149,0.0,3.78,48.0,6.3033338231721325,0.3966356546169226,0.0,29.224648722721316,10.208343942687083,0.0,37.65632462556088,16.210713231241666,0.0,667.08,28.0
36005005100,7261,21,88335.32802355988,0.0,3.1887550200803214,442.0,2.25697180076768,2.341268819288342,6.861390053025927,30.813159179879182,18.913685060881516,0.0,8.603075102079892,29.595619674496756,0.6148303095806936,497.13,30.7
36005005200,1837,1,80288.63409580782,0.0,3.489795918367347,91.0,1.7678007881001707,1.8281162272112377,14.12813876515706,32.30925245074437,13.732301420611815,0.0,10.89598553725229,20.812222816009797,4.526181994913266,764.29,33.1
36005005300,4065,0,44723.35827779407,0.0,3.032258064516129,27.0,0.0,0.0,0.0,26.67043187230482,12.681984939177449,0.0,22.77913411634698,37.72466327053595,0.1437858016348072,396.31,31.3
36005005400,5482,5,85228.40939885697,0.0,3.482142857142857,104.0,3.5837369460335027,2.3375523635597473,0.2833396804314845,31.196293157277086,12.164686113812268,0.0,31.5283962682691,17.54375061181792,1.3622448587988911,1055.46,30.9
36005005600,2501,1,82461.02073596342,0.0,3.2444444444444445,79.0,1.9375031990490157,10.841848651408922,0.0,31.869637614224075,23.150923486265857,0.0,17.50407071329272,14.696016335759415,0.0,801.62,35.1
36005005902,3019,2,93991.99792438831,0.0,3.3625,71.0,2.327189745333538,2.277822303999097,1.8649050345717184,31.16165226529274,15.49389080870605,0.0,23.86494881144696,23.009591030649897,0.0,987.77,38.1
36005006000,1280,5,47159.52406339026,0.0,3.0485436893203883,89.0,0.6288309274765851,1.156408532795454,0.4543909673500942,32.10822361696888,29.328258193912664,0.0,1.3674902798784967,33.56263337489091,1.3937641067269235,1505.17,34.3
36005006100,3369,7,59940.30795833224,0.0,3.108695652173913,125.0,6.004955312463702,8.584905897956533,3.0483199202298628,45.52221233071196,9.895312514334467,0.0,1.890769112696883,25.05352491160658,0.0,1386.98,48.6
36005006200,6363,7,90055.06807872457,0.0,3.005434782608696,153.0,1.0436820552550787,0.689781773772577,0.0,21.46411879288451,38.6072786913635,0.0,19.271165427195424,18.923973259528907,0.0,527.94,31.2
